attack,method,f,acc,accept_rate
LF,SparseFed-style (FedAdam),0.49,0.1,
LF,SparseFed-style (FedAdam),0.6,0.1,
LF,AG-PTR (P=I),0.0,0.2924,0.28888888888888886
LF,AG-PTR (P=I),0.1,0.1015,0.2
LF,AG-PTR (P=I),0.2,0.1358,0.39444444444444443
LF,AG-PTR (P=I),0.3,0.1002,0.3388888888888889
LF,AG-PTR (P=I),0.4,0.1024,0.4111111111111111
LF,AG-PTR (P=I),0.49,0.1049,0.3277777777777778
LF,AG-PTR (P=I),0.6,0.0427,0.0
LF,AG-PTR (FedAdam-diag P),0.0,0.757,0.35
LF,AG-PTR (FedAdam-diag P),0.1,0.7526,0.3277777777777778
LF,AG-PTR (FedAdam-diag P),0.2,0.7365,0.09444444444444444
LF,AG-PTR (FedAdam-diag P),0.3,0.7282,0.09444444444444444
LF,AG-PTR (FedAdam-diag P),0.4,0.7208,0.08888888888888889
LF,AG-PTR (FedAdam-diag P),0.49,0.7133,0.09444444444444444
LF,AG-PTR (FedAdam-diag P),0.6,0.0427,0.0
MinMax,DP-FedAvg (FedAdam),0.0,0.0984,
MinMax,DP-FedAvg (FedAdam),0.1,0.1019,
MinMax,DP-FedAvg (FedAdam),0.2,0.0878,
MinMax,DP-FedAvg (FedAdam),0.3,0.4082,
MinMax,DP-FedAvg (FedAdam),0.4,0.3786,
MinMax,DP-FedAvg (FedAdam),0.49,0.232,
MinMax,DP-FedAvg (FedAdam),0.6,0.1501,
MinMax,FedVRDP-style (FedAdam),0.0,0.5172,
MinMax,FedVRDP-style (FedAdam),0.1,0.5956,
MinMax,FedVRDP-style (FedAdam),0.2,0.5222,
MinMax,FedVRDP-style (FedAdam),0.3,0.3791,
MinMax,FedVRDP-style (FedAdam),0.4,0.2186,
MinMax,FedVRDP-style (FedAdam),0.49,0.2468,
MinMax,FedVRDP-style (FedAdam),0.6,0.0985,
MinMax,Median (FedAdam),0.0,0.7789,
MinMax,Median (FedAdam),0.1,0.1,
MinMax,Median (FedAdam),0.2,0.5251,
MinMax,Median (FedAdam),0.3,0.0823,
MinMax,Median (FedAdam),0.4,0.1,
MinMax,Median (FedAdam),0.49,0.1,
MinMax,Median (FedAdam),0.6,0.1,
MinMax,TrimmedMean (FedAdam),0.0,0.8256,
MinMax,TrimmedMean (FedAdam),0.1,0.1,
MinMax,TrimmedMean (FedAdam),0.2,0.2595,
MinMax,TrimmedMean (FedAdam),0.3,0.1,
MinMax,TrimmedMean (FedAdam),0.4,0.1,
MinMax,TrimmedMean (FedAdam),0.49,0.1,
MinMax,TrimmedMean (FedAdam),0.6,0.1,
MinMax,Krum (FedAdam),0.0,0.1,
MinMax,Krum (FedAdam),0.1,0.1,
MinMax,Krum (FedAdam),0.2,0.1,
MinMax,Krum (FedAdam),0.3,0.1,
MinMax,Krum (FedAdam),0.4,0.1,
MinMax,Krum (FedAdam),0.49,0.1,
MinMax,Krum (FedAdam),0.6,0.1,
MinMax,SparseFed-style (FedAdam),0.0,0.8708,
MinMax,SparseFed-style (FedAdam),0.1,0.6981,
MinMax,SparseFed-style (FedAdam),0.2,0.1,
MinMax,SparseFed-style (FedAdam),0.3,0.1,
MinMax,SparseFed-style (FedAdam),0.4,0.1,
MinMax,SparseFed-style (FedAdam),0.49,0.0758,
MinMax,SparseFed-style (FedAdam),0.6,0.1,
MinMax,AG-PTR (P=I),0.0,0.2924,0.28888888888888886
MinMax,AG-PTR (P=I),0.1,0.1015,0.39444444444444443
MinMax,AG-PTR (P=I),0.2,0.1021,0.43333333333333335
MinMax,AG-PTR (P=I),0.3,0.1736,0.22777777777777777
MinMax,AG-PTR (P=I),0.4,0.2858,0.07222222222222222
MinMax,AG-PTR (P=I),0.49,0.3713,0.05555555555555555
MinMax,AG-PTR (P=I),0.6,0.0427,0.0
MinMax,AG-PTR (FedAdam-diag P),0.0,0.757,0.35
MinMax,AG-PTR (FedAdam-diag P),0.1,0.7591,0.4722222222222222
MinMax,AG-PTR (FedAdam-diag P),0.2,0.7504,0.43333333333333335
MinMax,AG-PTR (FedAdam-diag P),0.3,0.7496,0.24444444444444444
MinMax,AG-PTR (FedAdam-diag P),0.4,0.7304,0.10555555555555556
MinMax,AG-PTR (FedAdam-diag P),0.49,0.6329,0.05
MinMax,AG-PTR (FedAdam-diag P),0.6,0.0427,0.0
MinSum,DP-FedAvg (FedAdam),0.0,0.0984,
MinSum,DP-FedAvg (FedAdam),0.1,0.1023,
MinSum,DP-FedAvg (FedAdam),0.2,0.097,
MinSum,DP-FedAvg (FedAdam),0.3,0.4045,
MinSum,DP-FedAvg (FedAdam),0.4,0.2937,
MinSum,DP-FedAvg (FedAdam),0.49,0.3044,
MinSum,DP-FedAvg (FedAdam),0.6,0.117,
MinSum,FedVRDP-style (FedAdam),0.0,0.5172,
MinSum,FedVRDP-style (FedAdam),0.1,0.5913,
MinSum,FedVRDP-style (FedAdam),0.2,0.4895,
MinSum,FedVRDP-style (FedAdam),0.3,0.3895,
MinSum,FedVRDP-style (FedAdam),0.4,0.3015,
MinSum,FedVRDP-style (FedAdam),0.49,0.3529,
MinSum,FedVRDP-style (FedAdam),0.6,0.2132,
MinSum,Median (FedAdam),0.0,0.7789,
MinSum,Median (FedAdam),0.1,0.1,
MinSum,Median (FedAdam),0.2,0.5252,
MinSum,Median (FedAdam),0.3,0.2189,
MinSum,Median (FedAdam),0.4,0.0999,
MinSum,Median (FedAdam),0.49,0.1,
MinSum,Median (FedAdam),0.6,0.1,
MinSum,TrimmedMean (FedAdam),0.0,0.8256,
MinSum,TrimmedMean (FedAdam),0.1,0.1,
MinSum,TrimmedMean (FedAdam),0.2,0.1,
MinSum,TrimmedMean (FedAdam),0.3,0.1,
MinSum,TrimmedMean (FedAdam),0.4,0.1001,
MinSum,TrimmedMean (FedAdam),0.49,0.1,
MinSum,TrimmedMean (FedAdam),0.6,0.1,
MinSum,Krum (FedAdam),0.0,0.1,
MinSum,Krum (FedAdam),0.1,0.1,
MinSum,Krum (FedAdam),0.2,0.1,
MinSum,Krum (FedAdam),0.3,0.1,
MinSum,Krum (FedAdam),0.4,0.1,
MinSum,Krum (FedAdam),0.49,0.1032,
