attack,method,f,acc,accept_rate
SF,FedVRDP-style,0.2,0.178,
SF,FedVRDP-style,0.3,0.156,
SF,FedVRDP-style,0.4,0.0994,
SF,FedVRDP-style,0.49,0.1061,
SF,FedVRDP-style,0.6,0.1,
SF,Median,0.0,0.7697,
SF,Median,0.1,0.7239,
SF,Median,0.2,0.6395,
SF,Median,0.3,0.4016,
SF,Median,0.4,0.2397,
SF,Median,0.49,0.1272,
SF,Median,0.6,0.1,
SF,TrimmedMean,0.0,0.8048,
SF,TrimmedMean,0.1,0.7128,
SF,TrimmedMean,0.2,0.6377,
SF,TrimmedMean,0.3,0.5046,
SF,TrimmedMean,0.4,0.1793,
SF,TrimmedMean,0.49,0.1354,
SF,TrimmedMean,0.6,0.1,
SF,Krum,0.0,0.7265,
SF,Krum,0.1,0.6955,
SF,Krum,0.2,0.7095,
SF,Krum,0.3,0.7214,
SF,Krum,0.4,0.7257,
SF,Krum,0.49,0.1,
SF,Krum,0.6,0.1,
SF,SparseFed-style,0.0,0.8003,
SF,SparseFed-style,0.1,0.6397,
SF,SparseFed-style,0.2,0.0509,
SF,SparseFed-style,0.3,0.0126,
SF,SparseFed-style,0.4,0.0097,
SF,SparseFed-style,0.49,0.2596,
SF,SparseFed-style,0.6,0.1,
SF,AG-PTR,0.0,0.761,0.9777777777777777
SF,AG-PTR,0.1,0.7663,0.9722222222222222
SF,AG-PTR,0.2,0.7566,0.9
SF,AG-PTR,0.3,0.7528,0.6277777777777778
SF,AG-PTR,0.4,0.7354,0.4111111111111111
SF,AG-PTR,0.49,0.6518,0.12777777777777777
SF,AG-PTR,0.6,0.0427,0.0
