Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.6,0.0953,
Fashion-MNIST-IID,MinSum,FedVRDP-style,0,0.7628,
Fashion-MNIST-IID,MinSum,FedVRDP-style,0.1,0.7055,
Fashion-MNIST-IID,MinSum,FedVRDP-style,0.2,0.6683,
Fashion-MNIST-IID,MinSum,FedVRDP-style,0.3,0.444,
Fashion-MNIST-IID,MinSum,FedVRDP-style,0.4,0.4041,
Fashion-MNIST-IID,MinSum,FedVRDP-style,0.49,0.3512,
Fashion-MNIST-IID,MinSum,FedVRDP-style,0.6,0.3259,
Fashion-MNIST-IID,MinSum,Median,0,0.7697,
Fashion-MNIST-IID,MinSum,Median,0.1,0.7239,
Fashion-MNIST-IID,MinSum,Median,0.2,0.6395,
Fashion-MNIST-IID,MinSum,Median,0.3,0.4016,
Fashion-MNIST-IID,MinSum,Median,0.4,0.2417,
Fashion-MNIST-IID,MinSum,Median,0.49,0.1834,
Fashion-MNIST-IID,MinSum,Median,0.6,0.1212,
Fashion-MNIST-IID,MinSum,TrimmedMean,0,0.8048,
Fashion-MNIST-IID,MinSum,TrimmedMean,0.1,0.7179,
Fashion-MNIST-IID,MinSum,TrimmedMean,0.2,0.6608,
Fashion-MNIST-IID,MinSum,TrimmedMean,0.3,0.4881,
Fashion-MNIST-IID,MinSum,TrimmedMean,0.4,0.1847,
Fashion-MNIST-IID,MinSum,TrimmedMean,0.49,0.1181,
Fashion-MNIST-IID,MinSum,TrimmedMean,0.6,0.1212,
Fashion-MNIST-IID,MinSum,Krum,0,0.7265,
Fashion-MNIST-IID,MinSum,Krum,0.1,0.7123,
Fashion-MNIST-IID,MinSum,Krum,0.2,0.7171,
Fashion-MNIST-IID,MinSum,Krum,0.3,0.6848,
Fashion-MNIST-IID,MinSum,Krum,0.4,0.16,
Fashion-MNIST-IID,MinSum,Krum,0.49,0.1,
Fashion-MNIST-IID,MinSum,Krum,0.6,0.1212,
Fashion-MNIST-IID,MinSum,SparseFed-style,0,0.8003,
Fashion-MNIST-IID,MinSum,SparseFed-style,0.1,0.7432,
Fashion-MNIST-IID,MinSum,SparseFed-style,0.2,0.6675,
Fashion-MNIST-IID,MinSum,SparseFed-style,0.3,0.6459,
Fashion-MNIST-IID,MinSum,SparseFed-style,0.4,0.5072,
Fashion-MNIST-IID,MinSum,SparseFed-style,0.49,0.3669,
Fashion-MNIST-IID,MinSum,SparseFed-style,0.6,0.1439,
Fashion-MNIST-IID,MinSum,AG-PTR,0,0.761,0.9777777777777777
Fashion-MNIST-IID,MinSum,AG-PTR,0.1,0.7591,0.9555555555555556
Fashion-MNIST-IID,MinSum,AG-PTR,0.2,0.7566,0.9
Fashion-MNIST-IID,MinSum,AG-PTR,0.3,0.7412,0.55
Fashion-MNIST-IID,MinSum,AG-PTR,0.4,0.7204,0.35555555555555557
Fashion-MNIST-IID,MinSum,AG-PTR,0.49,0.6518,0.12777777777777777
Fashion-MNIST-IID,MinSum,AG-PTR,0.6,0.0427,0
Fashion-MNIST-IID,SF,DP-FedAvg,0,0.7238,
Fashion-MNIST-IID,SF,DP-FedAvg,0.1,0.5799,
Fashion-MNIST-IID,SF,DP-FedAvg,0.2,0.5161,
Fashion-MNIST-IID,SF,DP-FedAvg,0.3,0.3064,
Fashion-MNIST-IID,SF,DP-FedAvg,0.4,0.2387,
Fashion-MNIST-IID,SF,DP-FedAvg,0.49,0.1,
Fashion-MNIST-IID,SF,DP-FedAvg,0.6,0.1,
Fashion-MNIST-IID,SF,FedVRDP-style,0,0.7628,
Fashion-MNIST-IID,SF,FedVRDP-style,0.1,0.4032,
Fashion-MNIST-IID,SF,FedVRDP-style,0.2,0.178,
Fashion-MNIST-IID,SF,FedVRDP-style,0.3,0.156,
Fashion-MNIST-IID,SF,FedVRDP-style,0.4,0.0994,
Fashion-MNIST-IID,SF,FedVRDP-style,0.49,0.1061,
Fashion-MNIST-IID,SF,FedVRDP-style,0.6,0.1,
Fashion-MNIST-IID,SF,Median,0,0.7697,
Fashion-MNIST-IID,SF,Median,0.1,0.7239,
Fashion-MNIST-IID,SF,Median,0.2,0.6395,
Fashion-MNIST-IID,SF,Median,0.3,0.4016,
Fashion-MNIST-IID,SF,Median,0.4,0.2397,
Fashion-MNIST-IID,SF,Median,0.49,0.1272,
Fashion-MNIST-IID,SF,Median,0.6,0.1,
Fashion-MNIST-IID,SF,TrimmedMean,0,0.8048,
Fashion-MNIST-IID,SF,TrimmedMean,0.1,0.7128,
Fashion-MNIST-IID,SF,TrimmedMean,0.2,0.6377,
Fashion-MNIST-IID,SF,TrimmedMean,0.3,0.5046,
Fashion-MNIST-IID,SF,TrimmedMean,0.4,0.1793,
Fashion-MNIST-IID,SF,TrimmedMean,0.49,0.1354,
Fashion-MNIST-IID,SF,TrimmedMean,0.6,0.1,
Fashion-MNIST-IID,SF,Krum,0,0.7265,
Fashion-MNIST-IID,SF,Krum,0.1,0.6955,
Fashion-MNIST-IID,SF,Krum,0.2,0.7095,
Fashion-MNIST-IID,SF,Krum,0.3,0.7214,
Fashion-MNIST-IID,SF,Krum,0.4,0.7257,
Fashion-MNIST-IID,SF,Krum,0.49,0.1,
Fashion-MNIST-IID,SF,Krum,0.6,0.1,
Fashion-MNIST-IID,SF,SparseFed-style,0,0.8003,
Fashion-MNIST-IID,SF,SparseFed-style,0.1,0.6397,
Fashion-MNIST-IID,SF,SparseFed-style,0.2,0.0509,
Fashion-MNIST-IID,SF,SparseFed-style,0.3,0.0126,
Fashion-MNIST-IID,SF,SparseFed-style,0.4,0.0097,
Fashion-MNIST-IID,SF,SparseFed-style,0.49,0.2596,
Fashion-MNIST-IID,SF,SparseFed-style,0.6,0.1,
Fashion-MNIST-IID,SF,AG-PTR,0,0.761,0.9777777777777777
Fashion-MNIST-IID,SF,AG-PTR,0.1,0.7663,0.9722222222222222
Fashion-MNIST-IID,SF,AG-PTR,0.2,0.7566,0.9
Fashion-MNIST-IID,SF,AG-PTR,0.3,0.7528,0.6277777777777778
Fashion-MNIST-IID,SF,AG-PTR,0.4,0.7354,0.4111111111111111
Fashion-MNIST-IID,SF,AG-PTR,0.49,0.6518,0.12777777777777777
Fashion-MNIST-IID,SF,AG-PTR,0.6,0.0427,0
